id,name,alternate_names,description,address,city,state,zip,county,latitude,longitude,phones,email,url,facebook,needs,service_types,populations,eligibility,cost,hours,languages,what_to_bring,referral_required,intake_hours,map_url,status,intake_process,capacity,waitlist,accepts_insurance,verification_status,last_verified,verified_by,confidence,source_urls,first_seen,tags,notes,related
appalachian-research-defense-fund-of-ky,Appalachian Research & Defense Fund of KY,,,Statewide,,KY,,Statewide,,,866-277-5733,,https://Free legal assistance based on eligibility,,community,online,anyone,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
knox-apprisen,Apprisen,,"HUD-approved counseling, mortgage delinquency, foreclosure prevention.","2265 Harrodsburg Rd, Lexington, KY 40504",Lexington,KY,40504,Knox,,,800-355-2227,,https://apprisen.com,,mental-health,outpatient|online,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=2265+Harrodsburg+Rd,+Lexington,+KY+40504",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
arc-addiction-recovery-care,ARC - Addiction Recovery Care,,"Residential Treatment, Outpatient Treatment, ARC Anywhere, Bellefonte Hospital & Recovery Care, Karen's Place Maternity Center",Statewide,,KY,,Lawrence,,,888-351-1761|833-647-0674|606-638-0938,,https://arccenters.com,,health|addiction|documents|family,residential|outpatient,families|women|men|substance-use,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
whitley-baptist-health-trillium-center,Baptist Health Trillium Center,,Detox services.,"1 Trillium Way #5, Corbin, KY 40701",Corbin,KY,40701,Whitley,,,606-528-1212,,https://baptisthealth.com,,health|addiction,faith-based,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=1+Trillium+Way+#5,+Corbin,+KY+40701",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
battered-women-justice-project,Battered Women Justice Project,,Domestic violence hotline,Statewide,,KY,,Statewide,,,800-903-0111,,,,crisis|legal,hotline,women|men|re-entry,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
clark-beacon-of-hope,Beacon of Hope,,Emergency shelter with random drug testing.,"Winchester, KY",,KY,,Clark,,,859-644-5171,,,,shelter|addiction|crisis,residential,substance-use,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Winchester,+KY",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
whitley-bell-whitley-community-action-agency,Bell-Whitley Community Action Agency,,"Food, shelter, natural disaster emergency funds.","U.S. Hwy 25W, Williamsburg, KY 40769",Williamsburg,KY,40769,Whitley,,,606-549-3933,,,,food|shelter|crisis|community,residential,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=U.S.+Hwy+25W,+Williamsburg,+KY+40769",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
pulaski-bethany-house-abuse-shelter,Bethany House Abuse Shelter,,Abuse shelter.,"Somerset, KY",,KY,,Pulaski,,,800-755-2017,,,,shelter|crisis|transportation,residential,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Somerset,+KY",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
fayette-bg-recovery,BG Recovery,,"Recovery education, IOP/OP, peer support, transportation, housing assistance.","711 E Loudon Ave, Lexington, KY 40505",Lexington,KY,40505,Fayette,,,859-333-4128|214-566-1078,,https://bgrecovery.org,,housing|addiction|transportation|education|community,residential|outpatient|peer-led,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=711+E+Loudon+Ave,+Lexington,+KY+40505",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
taylor-blessings-of-hope,Blessings of Hope,,Food procurement.,"315 Bradfordsville Rd, Campbellsville, KY 42718",Campbellsville,KY,42718,Taylor,,,717-824-1227,,https://blessingsofhope.com,,food,walk-in,men,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=315+Bradfordsville+Rd,+Campbellsville,+KY+42718",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
bluegrass-first-steps,Bluegrass First Steps,,Maternal/child health,Statewide,,KY,,Statewide,,,800-454-2764,,,,health|addiction|family,walk-in,youth,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
cabinet-for-health-and-family-services,Cabinet for Health and Family Services,,Food Stamps/Medical Card,Statewide,,KY,,Statewide,,,855-306-8959,,,,food|health|family,walk-in,families,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
cancer-information-services,Cancer Information Services,,Cancer support hotline,Statewide,,KY,,Statewide,,,800-422-6237,,,,addiction|crisis,hotline,anyone,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
knox-casa-court-appointed-special-advocate,CASA - Court Appointed Special Advocate,,Child advocacy.,Statewide,,KY,,Knox,,,606-389-5968,,,,legal|family,online,youth,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
casa-court-appointed-special-advocate-for-children,CASA - Court Appointed Special Advocate for Children,,Child advocacy,Statewide,,KY,,Statewide,,,606-389-5968,,https://casaclayknoxlaurel.com,,legal|family,online,families|youth,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
whitley-catholic-church,Catholic Church,,Food assistance.,"76 W. Sycamore St, Williamsburg, KY",Williamsburg,KY,,Whitley,,,606-549-2156,,,,food,faith-based,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=76+W.+Sycamore+St,+Williamsburg,+KY",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
whitley-cedaridge-ministries,Cedaridge Ministries,,Food assistance.,"Factory Ln, Williamsburg, KY",Williamsburg,KY,,Whitley,,,606-549-1373,,,,food|documents,walk-in,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Factory+Ln,+Williamsburg,+KY",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
clay-chads-hope-center,Chad's Hope Center,,,"300 Chad McWhorter Ln, Manchester, KY 40962",Manchester,KY,40962,Clay,,,606-599-9716,,,,community,walk-in,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=300+Chad+McWhorter+Ln,+Manchester,+KY+40962",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
child-care-assistance,Child Care Assistance,,Child care subsidy,Statewide,,KY,,Statewide,,,855-306-8959,,https://kynect.ky.gov,,documents|family,walk-in,youth,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
child-protection-hotline,Child Protection Hotline,,Report child abuse,Statewide,,KY,,Statewide,,,877-597-2331,,,,crisis|family|transportation,hotline,youth,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
child-support-information,Child Support Information,,Child support enforcement,Statewide,,KY,,Statewide,,,800-248-1163,,,,addiction|family,walk-in,men|youth,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
child-support-voice-response,Child Support Voice Response,,Child support information,Statewide,,KY,,Statewide,,,800-443-1576,,,,addiction|family,walk-in,youth,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
jefferson-choose-hope-llc,Choose Hope LLC,,"Mental health/addiction treatment, therapeutic groups, alumni program, relapse prevention.","620 S. 3rd St Suite 101, Louisville, KY 40202",Louisville,KY,40202,Jefferson,,,502-631-5291,,https://choosehopellc.org,,health|mental-health|addiction,walk-in,men|substance-use,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=620+S.+3rd+St+Suite+101,+Louisville,+KY+40202",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
clay-christian-appalachian-project,Christian Appalachian Project,,,"Outreach RR4, Mt. Vernon, KY 40456",Mt. Vernon,KY,40456,Clay,,,606-256-4810,,,,community,online|faith-based,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Outreach+RR4,+Mt.+Vernon,+KY+40456",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
knox-christian-life-fellowship,Christian Life Fellowship,,Food assistance.,"165 Black St, Barbourville, KY 40906",Barbourville,KY,40906,Knox,,,606-546-9415,,,,food,faith-based,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=165+Black+St,+Barbourville,+KY+40906",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
knox-church-of-the-nazarene-basket-ministry,Church of the Nazarene Basket Ministry,,,"409 Master St, Corbin, KY 40701",Corbin,KY,40701,Knox,,,606-528-5935,,,,community,faith-based,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=409+Master+St,+Corbin,+KY+40701",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
jessamine-clearview-behavioral-health,Clearview Behavioral Health,,Behavioral health services. Intake: clearviewbehavioralhealth@gmail.com,"1001 Park Central Ave, Nicholasville, KY 40356",Nicholasville,KY,40356,Jessamine,,,859-241-1096,,,,health|mental-health,walk-in,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=1001+Park+Central+Ave,+Nicholasville,+KY+40356",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
combat-vets-association,Combat Vets Association,,Veterans support,Statewide,,KY,,Statewide,,,931-206-4043,,,,veterans,walk-in,veterans,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
community-based-services,Community Based Services,,Social services,Statewide,,KY,,Statewide,,,800-635-2570,,,,community,walk-in,anyone,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
community-mental-health-centers,Community Mental Health Centers,,Mental health referrals,Statewide,,KY,,Statewide,,,800-928-8000,,,,health|mental-health|community,walk-in,men,,unknown,,English,,True,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
clay-community-outreach-center,Community Outreach Center,,,"1 Fayette Properties 1-C, Manchester, KY 40962",Manchester,KY,40962,Clay,,,606-598-5127,,,,community,mobile,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=1+Fayette+Properties+1-C,+Manchester,+KY+40962",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
consumer-product-safety-commission,Consumer Product Safety Commission,,Product safety,Statewide,,KY,,Statewide,,,800-638-2772,,,,community,walk-in,anyone,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
knox-corbin-presbyterian-church,Corbin Presbyterian Church,,Food assistance.,"601 Master Ct, Corbin, KY 40701",Corbin,KY,40701,Knox,,,606-528-1444,,,,food,faith-based,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=601+Master+Ct,+Corbin,+KY+40701",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
knox-corbin-united-effort,Corbin United Effort,,"Food pantry, meals, housing help, clothing, healthcare, system navigation.","311 Barbourville St, Corbin, KY 40701",Corbin,KY,40701,Whitley,,,606-528-7523,,,,food|housing|clothing|health,residential,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=311+Barbourville+St,+Corbin,+KY+40701",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
crisis-general,Crisis - General,,General crisis hotline,Statewide,,KY,,Statewide,,,800-592-3980,,,,crisis,hotline,anyone,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
crisis-for-parents-1-800-children,Crisis for Parents - 1-800-Children,,Parenting crisis support,Statewide,,KY,,Statewide,,,800-432-9251,,,,crisis|family,walk-in,families|youth,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
crisis-text-line,Crisis Text Line,,Text or call for crisis support,Statewide,,KY,,Statewide,,,,,,,crisis,hotline,anyone,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
washington-cumberland-mountain-healthcare,Cumberland Mountain Healthcare,,"Psychiatry, family care, AODE certified, weight loss, wellness memberships.","323 Main St, Williamsburg, KY 40769",Williamsburg,KY,40769,Washington,,,606-825-6011,,,,health|family,walk-in,families,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=323+Main+St,+Williamsburg,+KY+40769",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
cumberland-river-behavioral-health,Cumberland River Behavioral Health,,Inpatient and outpatient behavioral health services,"Barbourville, Corbin, Harlan, London, Pineville, Manchester, McKee, Middlesboro, Mt. Vernon, Williamsburg",Corbin,KY,,Clay,,,606-896-2466|606-837-0100|606-598-5172,,https://crbhky.org,,health|mental-health,outpatient,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Barbourville,+Corbin,+Harlan,+London,+Pineville,+Manchester,+McKee,+Middlesboro,+Mt.+Vernon,+Williamsburg",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
knox-cumberland-river-behavioral-health-barbourville,Cumberland River Behavioral Health - Barbourville,,Behavioral health services.,"Barbourville, KY",,KY,,Knox,,,606-546-3104,,https://crbhky.org,,health|mental-health,walk-in,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Barbourville,+KY",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
knox-cumberland-river-behavioral-health-corbin,Cumberland River Behavioral Health - Corbin,,Behavioral health services.,"Corbin, KY",,KY,,Whitley,,,606-526-9459,,https://crbhky.org,,health|mental-health,walk-in,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Corbin,+KY",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
whitley-cumberland-river-behavioral-health-williamsburg,Cumberland River Behavioral Health - Williamsburg,,Behavioral health.,"Williamsburg, KY",,KY,,Whitley,,,606-549-1440,,https://crbhky.org,,health|mental-health,walk-in,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Williamsburg,+KY",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
knox-cumberland-river-comprehensive-care-center,Cumberland River Comprehensive Care Center,,"Community mental health, substance abuse, developmental disabilities, supportive living, children's services, First Steps.","American Greeting Card Rd, Corbin, KY 40701",Corbin,KY,40701,Knox,,,606-528-7010,,https://crbhky.org,,health|mental-health|addiction|crisis|family|transportation|community,walk-in,families|men|youth|substance-use,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=American+Greeting+Card+Rd,+Corbin,+KY+40701",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
bell-cumberland-river-rhoar-center,Cumberland River RHOAR Center,,"Recovery, Hope, Opportunity and Resiliency. 100 women beds, 12 family reunification apartments, education & employment opportunities.","141 Tech Park Drive, Middlesboro, KY 40965",Middlesboro,KY,40965,Bell,,,606-248-4949,,https://crbhky.org,,shelter|housing|addiction|jobs|family|education,residential,families|women|men,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=141+Tech+Park+Drive,+Middlesboro,+KY+40965",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
cumberland-valley-aging-disability-resource,Cumberland Valley Aging & Disability Resource,,Senior and disability services,Statewide,,KY,,Clay,,,606-877-5763,,,,community,walk-in,seniors|disability,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
clay-cumberland-valley-child-advocacy-center,Cumberland Valley Child Advocacy Center,,Child advocacy services.,Statewide,,KY,,Clay,,,606-878-9116|1-877-597-2331,,https://cv-cac.org,,family,walk-in,youth,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
knox-cumberland-valley-dv-services,Cumberland Valley DV Services,,"20-bed emergency shelter for DV victims. Food, clothing, necessities.","P.O. Box 2162, London, KY 40456",London,KY,40456,Whitley,,,606-256-9511|800-755-5348|606-843-2022,,https://cvdvs.org,,food|shelter|clothing|crisis,residential,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=P.O.+Box+2162,+London,+KY+40456",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
whitley-cumberland-valley-regional-housing-authority,Cumberland Valley Regional Housing Authority,,,"221 N. 3rd St, Williamsburg, KY 40769",Williamsburg,KY,40769,Whitley,,,,,https://affordablehousing.com,,housing,residential,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=221+N.+3rd+St,+Williamsburg,+KY+40769",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
clay-daniel-boone-community-action-agency,Daniel Boone Community Action Agency,,CSBG Homeless Program.,"1535 Shamrock Rd, Manchester, KY 40962",Manchester,KY,40962,Clay,,,606-598-5127,,,,community,walk-in,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=1535+Shamrock+Rd,+Manchester,+KY+40962",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
dav-disabled-american-veterans,DAV - Disabled American Veterans,,,Statewide,,KY,,Statewide,,,,,https://Veterans with disabilities,,veterans,walk-in,veterans|disability,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
department-for-housing,Department for Housing,,Housing assistance,Statewide,,KY,,Statewide,,,800-669-9777,,,,housing,residential|government,men,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
department-for-medicaid-services,Department for Medicaid Services,,Medicaid enrollment,Statewide,,KY,,Statewide,,,800-635-2570,,,,health|documents,government,men,,insurance,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
dept-of-health-and-human-services,Dept of Health and Human Services,,,Statewide,,KY,,Statewide,,,,,"https://Federal resources for homelessness, trafficking, refugees",,health,walk-in,men,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
clay-dismas-charities-manchester,Dismas Charities Manchester,,,"845 Muddy Gap Rd, Manchester, KY 40962",Manchester,KY,40962,Clay,,,606-598-5555,,,,community,walk-in,men,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=845+Muddy+Gap+Rd,+Manchester,+KY+40962",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
domestic-violence-prevention-board,Domestic Violence Prevention Board,,Domestic violence hotline,Statewide,,KY,,Statewide,,,800-258-3803,,,,crisis,hotline,anyone,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
madison-dry-dock,Dry Dock,,,"262 Four Mile Ave, Richmond, KY 40475",Richmond,KY,40475,Madison,,,859-575-7260,,,,community,walk-in,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=262+Four+Mile+Ave,+Richmond,+KY+40475",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
whitley-emergency-christian-ministries,Emergency Christian Ministries,,"75 beds. Men, women, children. Food, clothing, supportive services.","630 South Hwy 25, Williamsburg, KY 40769",Williamsburg,KY,40769,Whitley,,,606-549-2922|606-400-1464,,,,food|shelter|clothing|crisis|family,residential|faith-based,families|women|men|youth,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=630+South+Hwy+25,+Williamsburg,+KY+40769",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
knox-emergency-fund-services,Emergency Fund Services,,"Emergency assistance, food.","P.O. Box 8, Barbourville, KY 40906",Barbourville,KY,40906,Knox,,,606-546-3152,,,,food|crisis,walk-in,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=P.O.+Box+8,+Barbourville,+KY+40906",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
clay-emergency-shelter-cumberland-valley-dv-services,Emergency Shelter - Cumberland Valley DV Services,,"20-bed emergency shelter for DV victims and children. Food, clothing, basic necessities.",Statewide,,KY,,Clay,,,606-256-9511|800-755-5348,,https://cvdvs.org,,food|shelter|clothing|crisis|family,residential,families|youth,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
boone-ethan-health-addiction-treatment,Ethan Health Addiction Treatment,,Intensive Outpatient Program. 24/7 support available.,"6159 1st Financial Dr, Burlington, KY 41005",Burlington,KY,41005,Madison,,,859-625-5235,,https://ethanhealth.org,,health|addiction,outpatient,men|substance-use,,unknown,24/7,English,,,,"https://www.google.com/maps/search/?api=1&query=6159+1st+Financial+Dr,+Burlington,+KY+41005",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
knox-feeding-souls-for-jesus,Feeding Souls for Jesus,,Emergency food service.,"Parkway Ministries, Corbin, KY",Corbin,KY,,Whitley,,,606-521-2349,,https://facebook.com/feedingsoulsforjesus,,food|crisis,walk-in,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Parkway+Ministries,+Corbin,+KY",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
find-help-now-ky,Find Help Now KY,,Help line for services,Statewide,,KY,,Statewide,,,,,,,community,walk-in,anyone,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
knox-first-baptist-church-barbourville,First Baptist Church Barbourville,,Food assistance.,"201 N. Main St, Barbourville, KY",Barbourville,KY,,Knox,,,606-546-3636,,,,food,faith-based,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=201+N.+Main+St,+Barbourville,+KY",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
whitley-first-baptist-church-corbin,First Baptist Church Corbin,,Food assistance.,"401 N. Laurel Ave, Corbin, KY 40701",Corbin,KY,40701,Whitley,,,606-528-4738,,,,food,faith-based,anyone,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=401+N.+Laurel+Ave,+Corbin,+KY+40701",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
