Name,Address,City,State,Zip,County,Phone,Website,Needs,Service Types,Populations,Description,Eligibility,Cost,Hours,Languages,What to Bring,Referral Required,Intake Hours,Map URL,Status,Intake Process,Last Verified,Confidence,Notes
Catholic Church,"76 W. Sycamore St, Williamsburg, KY",Williamsburg,KY,,Whitley,606-549-2156,,food,faith-based,anyone,Food assistance.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=76+W.+Sycamore+St,+Williamsburg,+KY",active,,2026-09-20,medium,
Cedaridge Ministries,"Factory Ln, Williamsburg, KY",Williamsburg,KY,,Whitley,606-549-1373,,food,walk-in,anyone,Food assistance.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Factory+Ln,+Williamsburg,+KY",active,,2026-09-20,medium,
Chad's Hope Center,"300 Chad McWhorter Ln, Manchester, KY 40962",Manchester,KY,40962,Clay,606-599-9716,,community,walk-in,anyone,,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=300+Chad+McWhorter+Ln,+Manchester,+KY+40962",active,,2026-09-20,medium,
Child Care Assistance,Statewide,,KY,,Statewide,855-306-8959,https://kynect.ky.gov,family,walk-in,youth,Child care subsidy,,unknown,,English,,,,,active,,2026-09-20,medium,
Child Protection Hotline,Statewide,,KY,,Statewide,877-597-2331,,crisis; family,hotline,youth,Report child abuse,,unknown,,English,,,,,active,,2026-09-20,medium,
Child Support Information,Statewide,,KY,,Statewide,800-248-1163,,family,walk-in,men; youth,Child support enforcement,,unknown,,English,,,,,active,,2026-09-20,medium,
Child Support Voice Response,Statewide,,KY,,Statewide,800-443-1576,,family,walk-in,youth,Child support information,,unknown,,English,,,,,active,,2026-09-20,medium,
Choose Hope LLC,"620 S. 3rd St Suite 101, Louisville, KY 40202",Louisville,KY,40202,Jefferson,502-631-5291,https://choosehopellc.org,health; mental-health; addiction,walk-in,men; substance-use,"Mental health/addiction treatment, therapeutic groups, alumni program, relapse prevention.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=620+S.+3rd+St+Suite+101,+Louisville,+KY+40202",active,,2026-09-20,medium,
Christian Appalachian Project,"Outreach RR4, Mt. Vernon, KY 40456",Mt. Vernon,KY,40456,Clay,606-256-4810,,community,online; faith-based,anyone,,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Outreach+RR4,+Mt.+Vernon,+KY+40456",active,,2026-09-20,medium,
Christian Life Fellowship,"165 Black St, Barbourville, KY 40906",Barbourville,KY,40906,Knox,606-546-9415,,food,faith-based,anyone,Food assistance.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=165+Black+St,+Barbourville,+KY+40906",active,,2026-09-20,medium,
Church of the Nazarene Basket Ministry,"409 Master St, Corbin, KY 40701",Corbin,KY,40701,Knox,606-528-5935,,community,faith-based,anyone,,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=409+Master+St,+Corbin,+KY+40701",active,,2026-09-20,medium,
Clearview Behavioral Health,"1001 Park Central Ave, Nicholasville, KY 40356",Nicholasville,KY,40356,Jessamine,859-241-1096,,health; mental-health,walk-in,anyone,Behavioral health services. Intake: clearviewbehavioralhealth@gmail.com,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=1001+Park+Central+Ave,+Nicholasville,+KY+40356",active,,2026-09-20,medium,
Combat Vets Association,Statewide,,KY,,Statewide,931-206-4043,,veterans,walk-in,veterans,Veterans support,,unknown,,English,,,,,active,,2026-09-20,medium,
Community Based Services,Statewide,,KY,,Statewide,800-635-2570,,community,walk-in,anyone,Social services,,unknown,,English,,,,,active,,2026-09-20,medium,
Community Mental Health Centers,Statewide,,KY,,Statewide,800-928-8000,,health; mental-health; community,walk-in,men,Mental health referrals,,unknown,,English,,True,,,active,,2026-09-20,medium,
Community Outreach Center,"1 Fayette Properties 1-C, Manchester, KY 40962",Manchester,KY,40962,Clay,606-598-5127,,community,mobile,anyone,,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=1+Fayette+Properties+1-C,+Manchester,+KY+40962",active,,2026-09-20,medium,
Consumer Product Safety Commission,Statewide,,KY,,Statewide,800-638-2772,,community,walk-in,anyone,Product safety,,unknown,,English,,,,,active,,2026-09-20,medium,
Corbin Presbyterian Church,"601 Master Ct, Corbin, KY 40701",Corbin,KY,40701,Knox,606-528-1444,,food,faith-based,anyone,Food assistance.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=601+Master+Ct,+Corbin,+KY+40701",active,,2026-09-20,medium,
Corbin United Effort,"311 Barbourville St, Corbin, KY 40701",Corbin,KY,40701,Whitley,606-528-7523,,food; housing; clothing; health,residential,anyone,"Food pantry, meals, housing help, clothing, healthcare, system navigation.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=311+Barbourville+St,+Corbin,+KY+40701",active,,2026-09-20,medium,
Crisis - General,Statewide,,KY,,Statewide,800-592-3980,,crisis,hotline,anyone,General crisis hotline,,unknown,,English,,,,,active,,2026-09-20,medium,
Crisis for Parents - 1-800-Children,Statewide,,KY,,Statewide,800-432-9251,,crisis; family,walk-in,families; youth,Parenting crisis support,,unknown,,English,,,,,active,,2026-09-20,medium,
Crisis Text Line,Statewide,,KY,,Statewide,741741,,crisis,hotline,anyone,Text or call for crisis support,,unknown,,English,,,,,active,,2026-09-20,medium,
Cumberland Mountain Healthcare,"323 Main St, Williamsburg, KY 40769",Williamsburg,KY,40769,Washington,606-825-6011,,health; family,walk-in,families,"Psychiatry, family care, AODE certified, weight loss, wellness memberships.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=323+Main+St,+Williamsburg,+KY+40769",active,,2026-09-20,medium,
Cumberland River Behavioral Health,"Barbourville, Corbin, Harlan, London, Pineville, Manchester, McKee, Middlesboro, Mt. Vernon, Williamsburg",Corbin,KY,,Clay,606-896-2466; 606-837-0100; 606-598-5172,https://crbhky.org,health; mental-health,outpatient,anyone,Inpatient and outpatient behavioral health services,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Barbourville,+Corbin,+Harlan,+London,+Pineville,+Manchester,+McKee,+Middlesboro,+Mt.+Vernon,+Williamsburg",active,,2026-09-20,medium,
Cumberland River Behavioral Health - Barbourville,"Barbourville, KY",,KY,,Knox,606-546-3104,https://crbhky.org,health; mental-health,walk-in,anyone,Behavioral health services.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Barbourville,+KY",active,,2026-09-20,medium,
Cumberland River Behavioral Health - Corbin,"Corbin, KY",,KY,,Whitley,606-526-9459,https://crbhky.org,health; mental-health,walk-in,anyone,Behavioral health services.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Corbin,+KY",active,,2026-09-20,medium,
Cumberland River Behavioral Health - Williamsburg,"Williamsburg, KY",,KY,,Whitley,606-549-1440,https://crbhky.org,health; mental-health,walk-in,anyone,Behavioral health.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Williamsburg,+KY",active,,2026-09-20,medium,
Cumberland River Comprehensive Care Center,"American Greeting Card Rd, Corbin, KY 40701",Corbin,KY,40701,Knox,606-528-7010,https://crbhky.org,health; mental-health; addiction; crisis; family; community,walk-in,families; men; youth; substance-use,"Community mental health, substance abuse, developmental disabilities, supportive living, children's services, First Steps.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=American+Greeting+Card+Rd,+Corbin,+KY+40701",active,,2026-09-20,medium,
Cumberland River RHOAR Center,"141 Tech Park Drive, Middlesboro, KY 40965",Middlesboro,KY,40965,Bell,606-248-4949,https://crbhky.org,shelter; housing; addiction; jobs; family; education,residential,families; women; men,"Recovery, Hope, Opportunity and Resiliency. 100 women beds, 12 family reunification apartments, education & employment opportunities.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=141+Tech+Park+Drive,+Middlesboro,+KY+40965",active,,2026-09-20,medium,
Cumberland Valley Aging & Disability Resource,Statewide,,KY,,Clay,606-877-5763,,community,walk-in,seniors; disability,Senior and disability services,,unknown,,English,,,,,active,,2026-09-20,medium,
Cumberland Valley Child Advocacy Center,Statewide,,KY,,Clay,606-878-9116; 1-877-597-2331,https://cv-cac.org,family,walk-in,youth,Child advocacy services.,,unknown,,English,,,,,active,,2026-09-20,medium,
Cumberland Valley DV Services,"P.O. Box 2162, London, KY 40456",London,KY,40456,Whitley,606-256-9511; 800-755-5348; 606-843-2022,https://cvdvs.org,food; shelter; clothing; crisis,residential,anyone,"20-bed emergency shelter for DV victims. Food, clothing, necessities.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=P.O.+Box+2162,+London,+KY+40456",active,,2026-09-20,medium,
Cumberland Valley Regional Housing Authority,"221 N. 3rd St, Williamsburg, KY 40769",Williamsburg,KY,40769,Whitley,,https://affordablehousing.com,housing,residential,anyone,,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=221+N.+3rd+St,+Williamsburg,+KY+40769",active,,2026-09-20,medium,
Daniel Boone Community Action Agency,"1535 Shamrock Rd, Manchester, KY 40962",Manchester,KY,40962,Clay,606-598-5127,,community,walk-in,anyone,CSBG Homeless Program.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=1535+Shamrock+Rd,+Manchester,+KY+40962",active,,2026-09-20,medium,
DAV - Disabled American Veterans,Statewide,,KY,,Statewide,,https://Veterans with disabilities,veterans,walk-in,veterans; disability,,,unknown,,English,,,,,active,,2026-09-20,medium,
Department for Housing,Statewide,,KY,,Statewide,800-669-9777,,housing,residential; government,men,Housing assistance,,unknown,,English,,,,,active,,2026-09-20,medium,
Department for Medicaid Services,Statewide,,KY,,Statewide,800-635-2570,,health,government,men,Medicaid enrollment,,insurance,,English,,,,,active,,2026-09-20,medium,
Dept of Health and Human Services,Statewide,,KY,,Statewide,,"https://Federal resources for homelessness, trafficking, refugees",health,walk-in,men,,,unknown,,English,,,,,active,,2026-09-20,medium,
Dismas Charities Manchester,"845 Muddy Gap Rd, Manchester, KY 40962",Manchester,KY,40962,Clay,606-598-5555,,community,walk-in,men,,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=845+Muddy+Gap+Rd,+Manchester,+KY+40962",active,,2026-09-20,medium,
Domestic Violence Prevention Board,Statewide,,KY,,Statewide,800-258-3803,,crisis,hotline,anyone,Domestic violence hotline,,unknown,,English,,,,,active,,2026-09-20,medium,
Dry Dock,"262 Four Mile Ave, Richmond, KY 40475",Richmond,KY,40475,Madison,859-575-7260,,community,walk-in,anyone,,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=262+Four+Mile+Ave,+Richmond,+KY+40475",active,,2026-09-20,medium,
Emergency Christian Ministries,"630 South Hwy 25, Williamsburg, KY 40769",Williamsburg,KY,40769,Whitley,606-549-2922; 606-400-1464,,food; shelter; clothing; crisis; family,residential; faith-based,families; women; men; youth,"75 beds. Men, women, children. Food, clothing, supportive services.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=630+South+Hwy+25,+Williamsburg,+KY+40769",active,,2026-09-20,medium,
Emergency Fund Services,"P.O. Box 8, Barbourville, KY 40906",Barbourville,KY,40906,Knox,606-546-3152,,food; crisis,walk-in,anyone,"Emergency assistance, food.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=P.O.+Box+8,+Barbourville,+KY+40906",active,,2026-09-20,medium,
Emergency Shelter - Cumberland Valley DV Services,Statewide,,KY,,Clay,606-256-9511; 800-755-5348,https://cvdvs.org,food; shelter; clothing; crisis; family,residential,families; youth,"20-bed emergency shelter for DV victims and children. Food, clothing, basic necessities.",,unknown,,English,,,,,active,,2026-09-20,medium,
Ethan Health Addiction Treatment,"6159 1st Financial Dr, Burlington, KY 41005",Burlington,KY,41005,Madison,859-625-5235,https://ethanhealth.org,health; addiction,outpatient,men; substance-use,Intensive Outpatient Program. 24/7 support available.,,unknown,24/7,English,,,,"https://www.google.com/maps/search/?api=1&query=6159+1st+Financial+Dr,+Burlington,+KY+41005",active,,2026-09-20,medium,
Feeding Souls for Jesus,"Parkway Ministries, Corbin, KY",Corbin,KY,,Whitley,606-521-2349,https://facebook.com/feedingsoulsforjesus,food; crisis,walk-in,anyone,Emergency food service.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Parkway+Ministries,+Corbin,+KY",active,,2026-09-20,medium,
Find Help Now KY,Statewide,,KY,,Statewide,833-8KY-HELP,,community,walk-in,anyone,Help line for services,,unknown,,English,,,,,active,,2026-09-20,medium,
First Baptist Church Barbourville,"201 N. Main St, Barbourville, KY",Barbourville,KY,,Knox,606-546-3636,,food,faith-based,anyone,Food assistance.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=201+N.+Main+St,+Barbourville,+KY",active,,2026-09-20,medium,
First Baptist Church Corbin,"401 N. Laurel Ave, Corbin, KY 40701",Corbin,KY,40701,Whitley,606-528-4738,,food,faith-based,anyone,Food assistance.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=401+N.+Laurel+Ave,+Corbin,+KY+40701",active,,2026-09-20,medium,
First Baptist Church Williamsburg,"230 5th St, Williamsburg, KY",Williamsburg,KY,,Whitley,606-549-0280,,food,faith-based,anyone,Food assistance.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=230+5th+St,+Williamsburg,+KY",active,,2026-09-20,medium,
First United Methodist Church Barbourville,"312 N. Main St, Barbourville, KY",Barbourville,KY,,Knox,606-546-3695,,food,faith-based,anyone,Food assistance.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=312+N.+Main+St,+Barbourville,+KY",active,,2026-09-20,medium,
Floyd County Shelter,"Martin, KY",,KY,,Floyd,606-949-2018,,shelter; crisis,residential; government,anyone,Emergency shelter.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Martin,+KY",active,,2026-09-20,medium,
Food and Drug Administration,Statewide,,KY,,Statewide,800-332-4010,,food; addiction,walk-in,substance-use,Medication and food safety,,unknown,,English,,,,,active,,2026-09-20,medium,
Food for the Poor,Statewide,,KY,,Statewide,,https://Food assistance organization,food,walk-in,anyone,,,unknown,,English,,,,,active,,2026-09-20,medium,
Food Stamp Case Changes Reporting,Statewide,,KY,,Statewide,800-248-5861,,food,walk-in,anyone,SNAP reporting,,unknown,,English,,,,,active,,2026-09-20,medium,
Foster Care Information,Statewide,,KY,,Statewide,800-232-5437,,family,walk-in,anyone,Foster care information,,unknown,,English,,,,,active,,2026-09-20,medium,
God's Food Pantry,"119 S Central Ave, Somerset, KY",Somerset,KY,,Pulaski,606-679-8560,,food,walk-in,anyone,Food assistance.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=119+S+Central+Ave,+Somerset,+KY",active,,2026-09-20,medium,
GPS - Getting Peace for Those Who Served,Statewide,,KY,,Statewide,606-215-1417,,mental-health; addiction; crisis; jobs; family; veterans,outpatient,families; men; veterans; substance-use,"Veteran emotional support, readjustment therapy, family/marriage/substance abuse counseling, spiritual guidance, financial management, job placement",,unknown,,English,,,,,active,,2026-09-20,medium,
Grace Health,Statewide,,KY,,Statewide,888-883-9005,https://gracehealthky.org,health; mental-health,walk-in,men,"Behavioral health, Comprehensive Care, Medication Management, Targeted Case Management, Referral Services",,unknown,,English,,True,,,active,,2026-09-20,medium,
Greyhound Free Ticket Home for Runaways,Statewide,,KY,,Statewide,1-800-786-2929,https://www.1800runaway.org/youth-teens/home-free,family; transportation,walk-in,youth,Free bus ticket home for runaway youth,,free,,English,,,,,active,,2026-09-20,medium,
Grief Support Group,"London, KY",,KY,,Clay,606-312-1513,,community,peer-led,anyone,Contact Sharon Kidd.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=London,+KY",active,,2026-09-20,medium,
Haven House Homeless Shelter,"Hazzard, KY",,KY,,Perry,606-436-5761,,shelter; crisis,residential,anyone,Emergency shelter.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Hazzard,+KY",active,,2026-09-20,medium,
Help for Homeless,"Somerset, KY",,KY,,Pulaski,606-875-3893,,community,walk-in,anyone,Homeless assistance.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Somerset,+KY",active,,2026-09-20,medium,
HHCK - Homeless & Housing Coalition of KY,Statewide,,KY,,Statewide,502-223-1834,https://hhck.org,housing,residential; government,anyone,Statewide housing coalition,,unknown,,English,,,,,active,,2026-09-20,medium,
High Street Baptist Church,"102 Bourne Ave, Somerset, KY",Somerset,KY,,Pulaski,606-678-8973,,food,faith-based,anyone,Food assistance.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=102+Bourne+Ave,+Somerset,+KY",active,,2026-09-20,medium,
Home Health Agency Hotline,Statewide,,KY,,Statewide,800-635-6290,,health; crisis,hotline,anyone,Home health referrals,,unknown,,English,,True,,,active,,2026-09-20,medium,
Homeless and Housing Coalition of KY,Statewide,,KY,,Clay,,https://hhck.org,housing,residential,anyone,Housing programs.,,unknown,,English,,,,,active,,2026-09-20,medium,
Homeless Veterans Reintegration Program,Statewide,,KY,,Statewide,606-866-4343; 606-548-8977,https://vivian.taylor@mtcomp.org,jobs; veterans,walk-in,veterans,"Resume prep, job searching, job resources for homeless veterans. Must be willing to work, non-dishonorable discharge.","Resume prep, job searching, job resources for homeless veterans. Must be willing to work, non-dishonorable discharge.",unknown,,English,,,,,active,,2026-09-20,medium,
HomelessShelterDirectory,Statewide,,KY,,Statewide,,https://National shelter directory,shelter,residential,anyone,,,unknown,,English,,,,,active,,2026-09-20,medium,
Hope Place Corbin,"409 Master St, Corbin, KY 40701",Corbin,KY,40701,Whitley,606-215-6285,https://hopeplaceky.org,community,walk-in,anyone,Transitional support.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=409+Master+St,+Corbin,+KY+40701",active,,2026-09-20,medium,
Horizon Health,Statewide,,KY,,Statewide,606-657-2030,https://horizonhealthky.org,housing; clothing; health; mental-health; addiction; jobs; family; community,residential; outpatient; peer-led,women; men; youth; substance-use,"Job support, clothing, shoes, counseling, addiction recovery, women's housing, IOP, MAT, child care, peer support, mental health, behavioral health, youth services, employment, care coordination, harm reduction, ADHD testing, smoking cessation",,unknown,,English,,,,,active,,2026-09-20,medium,
Housing Authority of Corbin,"1336 Madison Ave, Corbin, KY 40701",Corbin,KY,40701,Knox,606-528-5104,https://affordablehousing.com,housing,residential,anyone,,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=1336+Madison+Ave,+Corbin,+KY+40701",active,,2026-09-20,medium,
Housing Authority of Hazzard,"100 Campbell St Apt A, Hazzard, KY",Hazzard,KY,,Perry,606-436-5741,https://affordablehousing.com,housing,residential,anyone,,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=100+Campbell+St+Apt+A,+Hazzard,+KY",active,,2026-09-20,medium,
Housing Authority of Manchester,"306 Town Branch Rd, Manchester, KY 40962",Manchester,KY,40962,Clay,606-598-3884,https://housingauthorityofmanchester.com,housing,residential,men,,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=306+Town+Branch+Rd,+Manchester,+KY+40962",active,,2026-09-20,medium,
Housing Authority of Somerset,"400 Hail Knob Rd, Somerset, KY 42503",Somerset,KY,42503,Pulaski,606-679-1332,https://affordablehousing.com,housing,residential,anyone,,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=400+Hail+Knob+Rd,+Somerset,+KY+42503",active,,2026-09-20,medium,
Housing Authority of Whitley City,"488 St Hwy 2792, Pine Knot, KY 42635",Pine Knot,KY,42635,McCreary,606-354-2200,https://affordablehousing.com,housing,residential,anyone,,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=488+St+Hwy+2792,+Pine+Knot,+KY+42635",active,,2026-09-20,medium,
Housing Voucher Programs Manchester KY,Statewide,,KY,,Statewide,877-424-3838,,housing; veterans,residential,men; veterans,Veteran housing vouchers,,unknown,,English,,,,,active,,2026-09-20,medium,
Independence House,Statewide,,KY,,Whitley,606-523-9386,,addiction; crisis,walk-in,women; men; substance-use,Substance abuse treatment for women. 5-bed transitional (6 months) and 10-bed short-term (30 days).,,unknown,,English,,,,,active,,2026-09-20,medium,
Isaiah 58:10 Ministries,"220 E. 4th St, London, KY 40741",London,KY,40741,Whitley,502-801-9119,https://is5810.com,food; clothing,walk-in,seniors,"Sack lunches, blankets, jackets, cold weather supplies, resource guides. Soup Kitchen Mon/Tues/Thurs/Fri/Sat 11am-1pm at Good Samaritan House.",,unknown,Mon/Tues/Thurs/Fri/Sat 11am-1pm,English,,,,"https://www.google.com/maps/search/?api=1&query=220+E.+4th+St,+London,+KY+40741",active,,2026-09-20,medium,Soup Kitchen on-site
Isaiah House,"Chaplin, Louisville, Williamsburg, Willisburg, Versailles, Harrodsburg, Danville, Georgetown, Hillview, KY",Hillview,KY,,Clay,859-375-9200,https://isaiah-house.org,mental-health; addiction; jobs; family; education,outpatient,families; men; substance-use,"Addiction recovery: family/marriage/couples counseling, GED/college classes, job skill training, individual/group therapy, detox, DOC case management",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Chaplin,+Louisville,+Williamsburg,+Willisburg,+Versailles,+Harrodsburg,+Danville,+Georgetown,+Hillview,+KY",active,,2026-09-20,medium,
KCEOC - Community Action Partnership,Statewide,,KY,,Statewide,606-546-3152,https://kceoc.org,food; housing; crisis; jobs; family; community,residential,men; youth; seniors,"Senior programs, energy assistance, summer food, weatherization, housing, youth homelessness, emergency support, career center, child development",,unknown,,English,,,,,active,,2026-09-20,medium,
