Name,Address,Phone,Website,Needs,Description,Hours,Cost,Status
HHCK - Homeless & Housing Coalition of KY,Statewide,502-223-1834,https://hhck.org,housing; documents,Statewide housing coalition,,unknown,active
Home Health Agency Hotline,Statewide,800-635-6290,,health; crisis,Home health referrals,,unknown,active
Homeless Veterans Reintegration Program,Statewide,606-866-4343; 606-548-8977,https://vivian.taylor@mtcomp.org,jobs; veterans,"Resume prep, job searching, job resources for homeless veterans. Must be willing to work, non-dishonorable discharge.",,unknown,active
HomelessShelterDirectory,Statewide,,https://National shelter directory,shelter,,,unknown,active
Horizon Health,Statewide,606-657-2030,https://horizonhealthky.org,housing; clothing; health; mental-health; addiction; jobs; family; community,"Job support, clothing, shoes, counseling, addiction recovery, women's housing, IOP, MAT, child care, peer support, mental health, behavioral health, youth services, employment, care coordination, harm reduction, ADHD testing, smoking cessation",,unknown,active
Housing Voucher Programs Manchester KY,Statewide,877-424-3838,,housing; veterans,Veteran housing vouchers,,unknown,active
KCEOC - Community Action Partnership,Statewide,606-546-3152,https://kceoc.org,food; housing; crisis; jobs; family; community,"Senior programs, energy assistance, summer food, weatherization, housing, youth homelessness, emergency support, career center, child development",,unknown,active
KEJC - Kentucky Equal Justice Center,Statewide,859-788-2927,https://kyequaljustice.org,documents; legal,Legal aid,,unknown,active
Kentucky Attorney General's Office,Statewide,800-372-2551,,crisis; legal,Legal hotline,,unknown,active
Kentucky Domestic Violence Association,Statewide,502-209-5382,,crisis,DV support,,unknown,active
Kentucky Harm Reduction Coalition,"1202 S. 3rd St #103, Louisville, KY 40203",502-537-6061,https://kyhrc.org,clothing; addiction; education,Harm reduction education and supplies for substance use disorders,,unknown,active
Kentucky Voices for Health,Statewide,,https://Health advocacy,health,,,unknown,active
KFAN - Kentucky Food Action Network,Statewide,,https://Food security advocacy,food; jobs,,,unknown,active
KHC - Kentucky Housing Corporation,Statewide,,https://Housing Choice Voucher/Section 8,housing,,,unknown,active
KTAP - Cash Assistance,Statewide,859-306-8959,https://kynect.ky.gov,family,Basic cash assistance for families with children,,unknown,active
KY Help Statewide Call Center,Statewide,1-833-859-4357,https://OperationUNITE.org/programs/kyhelp-call-center/,addiction; documents; family,Substance use disorder assistance and family support,,unknown,active
KY HIV/AIDS Program,Statewide,800-420-7431,,health; documents,HIV/AIDS services,,unknown,active
KY Pregnancy Help Centers,Statewide,859-255-5400,https://kyfamily.org,family,Pregnancy support,,unknown,active
KY River Foothills SSVF,Statewide,800-372-7601,,housing; veterans,Temporary rental assistance for qualifying veterans. POC: Lisa Roark.,,unknown,active
Kynect Health Coverage,Statewide,606-389-6708,https://gracehealth.org,health,Health coverage enrollment,,unknown,active
La Red Nacional De Prevencion Del Suicidio,Statewide,888-628-9454,https://988Lifeline.org,crisis; documents,Spanish language suicide prevention,,unknown,active
Long Term Care Ombudsman,Statewide,800-372-2991,,community,Nursing home advocacy,,unknown,active
Medicaid Managed Care Ombudsman,Statewide,800-807-4027,,health; documents; jobs; education,Medicaid advocacy,,insurance,active
Medicare.gov,Statewide,,https://Medicare information,health,,,unknown,active
Mental Health Counseling,Statewide,800-928-8000,,health; mental-health,Mental health referrals,,unknown,active
Mental Health Screenings Online 24/7,Statewide,,https://Online mental health screening,health; mental-health,,,unknown,active
Mental Health Support for KY Farmers,Statewide,,https://Farm-specific mental health support,health; mental-health,,,unknown,active
MHA - Mental Health America of KY,Statewide,859-684-7778,https://mhaky.org,health; mental-health; education,"Mental health screenings, education, advocacy, system navigation",,unknown,active
National Domestic Violence Hotline,Statewide,800-779-7233,,crisis,DV hotline,,unknown,active
National Human Trafficking Hotline,Statewide,888-373-7888,,crisis,Trafficking hotline,,unknown,active
National Lead Information Center,Statewide,800-424-5323,,addiction,Lead poisoning info,,unknown,active
National Maternal Mental Health Line,Statewide,833-943-5749,,health; mental-health; addiction,Maternal mental health,,unknown,active
National Network to End Domestic Violence,Statewide,202-543-5566,,crisis; jobs,DV advocacy,,unknown,active
National Resource information,Statewide,,https://National resource list,addiction,,,unknown,active
National Sexual Assault Hotline,Statewide,800-656-4673,,crisis,RAINN sexual assault support,,unknown,active
National Veterans Foundation,"5777 West Century Blvd Suite 350, Los Angeles, CA 90045",888-777-4443,https://nvf.org,documents; veterans,"Vet-to-vet service, real solutions for veteran problems. Nationwide.",,unknown,active
National Victim Notification Network,Statewide,800-511-1670,,jobs,Victim notification,,unknown,active
NEMT - Non-Emergency Medical Transportation,Statewide,,,health; crisis; documents; transportation,Medicaid transportation to appointments,,insurance,active
NOSW - New Opportunity School for Women,Statewide,859-985-7200,https://nosw.org,documents; jobs; family; transportation; education,"Free 2-week residential program in Berea: self-esteem, wellness, career, education, arts. Childcare/transportation reimbursement. Free online courses.",,free,active
Operation UNITE,"350 C.A.P. Dr, London, KY 40744",1-866-678-6483,https://OperationUNITE.org,addiction,Substance misuse prevention and recovery facilitation,,unknown,active
Peacefully Whole Recovery,Statewide,859-412-2320,https://piecefullywhole.org,addiction; documents,"Holistic recovery from alcohol, opioids, trauma. Serves 22 counties.",,unknown,active
Pinnacle Treatment Centers,Statewide,606-922-2012,https://pinnacletreatment.com,shelter; addiction; documents,"24/7 admission, male/female beds, detox and residential",24/7,unknown,active
Poison Control,Statewide,800-222-1222,,crisis,Poison emergency,,unknown,active
Prevent Child Abuse Kentucky,Statewide,800-432-9251,,crisis; family; transportation,Child abuse prevention,,unknown,active
"RAINN - Rape, Abuse and Incest National Network",Statewide,800-656-4673,,crisis; jobs; transportation,Sexual assault support,,unknown,active
Rape Crisis Hotline,Statewide,800-422-1060,,crisis,Rape crisis support,,unknown,active
Recovery Care - ARC,"332 River Bend Rd, Louisa, KY",888-530-7632,https://arccenters.com,health; addiction; legal,"Casey's Law intervention, accepts Wellcare, United Health Care, Anthem",,unknown,active
Resource Center for Child Protection,Statewide,800-527-3232,,family,Child protection,,unknown,active
Restoration Healthcare,Statewide,,https://Healthcare services,health,,,unknown,active
Serenity Ranch Recovery,Statewide,270-515-0212,https://serenityranchrecovery.com,addiction,Kentucky's leading detox and rehab. 6 locations in KY and TN.,,unknown,active
SHIP - State Health Insurance Assistance,Statewide,877-293-7447,,health; mental-health,Medicare counseling,,insurance,active
SID's Back to Sleep Campaign,Statewide,800-505-2742,,shelter; documents,Safe sleep for infants,,unknown,active
SNAP - Supplemental Nutrition Assistance,Statewide,855-306-8959,,food,Food assistance benefits,,unknown,active
SOAR - Shaping Our Appalachian Region,Statewide,606-766-1160,https://soar.org,community,Regional development,,unknown,active
SOS Ministries Mission Field,Statewide,937-262-4100; 855-696-2453,https://saveoursoulsministries.org,addiction; crisis; documents,Picks up and assists victims of trafficking and addiction. Provides safety and recovery support.,,unknown,active
SPARC - Job Training,"1442 W. Steve Wariner Dr, Russell Springs, KY 42642",859-396-0260,https://sparcrecovery.com,addiction; jobs; community,"Sobriety, peace, awareness, recovery, community",,unknown,active
Special Needs Adoption,Statewide,800-423-9346,,community,Special needs adoption,,unknown,active
Spouse Abuse Hotline,Statewide,800-544-2022,,crisis; transportation,Spouse abuse hotline,,unknown,active
Suicide and Crisis Hotline,Statewide,,https://988lifeline.org,crisis; documents,Call or text 988,,unknown,active
Target 4 Project,Statewide,606-878-7754 ext. 247,,health; mental-health; education,"Free HIV screening, Hepatitis C testing, PrEP referrals, Narcan, health education",,free,active
Trans Lifeline,Statewide,877-565-8860,,crisis,Transgender crisis support,,unknown,active
Trevor Project - LGBTQ+ Youth,Statewide,866-488-7386,,crisis; family,LGBTQ+ youth crisis support,,unknown,active
VFW - Veterans of Foreign Wars,"3027 W. Laurel Rd, London, KY 40741",606-862-9336,,veterans,Veterans service organization,,unknown,active
VOA Mid-States Employment Services,Statewide,606-765-3566,,addiction; documents; jobs,Employment for people in recovery,,unknown,active
VOA Mid-States Freedom House,"1025 2nd St, Louisville, KY 40203",502-635-4530,https://voamid.org/recovery,addiction; documents; jobs; family,Treatment without leaving children. Insurance assistance. Employment services.,,free,active
VOA Mid-States Recovery Community Center,"48 Owens Rd, Manchester, KY 40962",606-658-9236,https://FB: VOA Recovery Community Center,addiction; documents; education; community,"Safe, supportive recovery community. Education, connections, support.",,unknown,active
VOA Mid-States Restorative Justice,Statewide,502-585-9920,,documents; legal,Victim healing and restoration,,unknown,active
VOA Mid-States Veteran Services,Statewide,,"https://Moral injury, preventing suicide, SSVF, homeless veterans reintegration",documents; veterans,,,unknown,active
Vocal Kentucky,"723 S. Brook St, Louisville, KY 40203",502-356-2322,https://vocal-ky.org,community,Harm reduction and advocacy,,unknown,active
Walker House Sober Living,"Winchester & Lexington, KY",859-310-3567,https://walkerhouseinc.com,housing; mental-health; addiction; family; transportation,"Transport, sober living, recovery, addiction/family/teen counseling, anxiety therapy",,unknown,active
Welfare and Medicaid Fraud,Statewide,800-372-2970,,health; documents,Report fraud,,insurance,active
WIC - Women Infants and Children,Statewide,800-462-6122,,food; family,Nutrition assistance,,unknown,active
Winds of Change Counseling,"1220 Master St, Corbin, KY 40701",606-515-3582; 606-404-5104,https://windsofchangeky.com,mental-health,"Safe healing space, tailored professional services",,unknown,active
Women's Cancer Screening,Statewide,800-462-6122,,mental-health,Cancer screening,,unknown,active
